"Sample","year","month","week","colour","cond","domgl","dopercent","oldo","odour","ph","temp","turb","tdscalc","langelier","palk","talk","bicarb","carb","ca","mg","thard","na","k","sulfate","cl","dissal","ammn","bod","br","chla","fl","dissfe","dissmn","no3","orgn","rawtoc","rawdoc","uv254doc","orthop","tp","si","sulphide","blgrnalg","grnalg","diatoms","flag","crust","nema","roti","otherfauna","totgrnbg","totcoli","fcoli","totcoliback","pltct","part","ecoli","sst","ssv","ssf","partal","total","totfe","totmn","orgc","suva","fecstrep","tds","prefm","damflow","dbar","salcalc","bicarbC","carbC","ionstrength","pk1","pk2","k1","k2","hplus","ao","a1","a2","totaldicnull","totaldic","dicumol","Site","pCO2","CO2flux","CO2fluxWk","iceoffdoy","iceondoy","iceoffweek","iceonweek","season","Seasonname","Spring determine"
194,1979,3,11,10,"NA",6.7,47,"NA",6,7.65,1,1,"NA","NA","NA",235,287,"NA",52,32,262,"NA","NA","NA","NA","NA",0.22,"NA","NA","NA","NA","NA","NA","NA",0.82,"NA","NA","NA",0,0,5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.85,0.2,"NA","NA","NA","NA","NA","NA",10.5,"NA",56.49380007,"NA","NA","NA","NA","NA","NA",0.0000000224,"NA","NA","NA","NA","NA","NA","MLO",3785.841627,,,136,335,20,48,1,"winter",0
195,1979,3,12,10,"NA",5.9,42,"NA","NA",7.6,1.5,1,"NA","NA","NA",234,286,"NA",52,32,262,"NA","NA",205,21.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"NA",5.1,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.08,0.33,"NA","NA","NA","NA","NA","NA",10.5,"NA",56.29695756,"NA","NA","NA","NA","NA","NA",0.0000000251,"NA","NA","NA","NA","NA","NA","MLO",4228.585882,,,136,335,20,48,1,"winter",0
196,1979,3,13,15,"NA",7.6,55,"NA","NA",7.65,2,1.4,"NA","NA","NA",232,283,"NA",53,31,258,"NA","NA","NA",21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.08,0.43,"NA","NA","NA","NA","NA","NA",10.5,"NA",55.70643003,"NA","NA","NA","NA","NA","NA",0.0000000224,"NA","NA","NA","NA","NA","NA","MLO",3820.255815,,,136,335,20,48,1,"winter",0
197,1979,4,14,15,"NA",10.4,76,"NA","NA",7.85,2.5,1.9,"NA","NA","NA",229,279,"NA",53,30,257,78,"NA",215,20.5,"NA",0.08,"NA","NA","NA",0.27,"NA","NA","NA",0.99,"NA","NA","NA",0,1,3.7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.1,0.38,"NA","NA","NA","NA","NA","NA",10.5,"NA",54.91906,"NA","NA","NA","NA","NA","NA",0.0000000141,"NA","NA","NA","NA","NA","NA","MLO",2487.217615,,,136,335,20,48,1,"winter",0
198,1979,4,15,20,1020,12.7,93,"NA",15,8.2,2.5,2.4,"NA","NA","NA",234,286,"NA",52,29,249,"NA","NA",220,20.5,"NA","NA","NA","NA","NA",0.29,"NA","NA","NA","NA","NA","NA","NA","NA","NA",3.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.09,0.38,"NA","NA","NA","NA","NA","NA",10.5,0.894903051,56.29695756,"NA",0.01785,6.493792938,10.36120925,0.000000321,0.0000000000435,0.00000000631,0.019160418,0.974119063,0.006720519,"NA","NA","NA","MLO",1142.935883,43.6724822,305.7073754,136,335,20,48,1,"winter",0
199,1979,4,16,25,"NA",14.3,106,"NA",15,8.1,3,2.4,"NA","NA","NA",230,281,"NA",50,32,256,76,"NA",205,20.5,"NA",0.25,"NA","NA","NA","NA","NA","NA","NA",1.03,14.5,"NA","NA",0,1,"NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.5,"NA",55.31274501,"NA","NA","NA","NA","NA","NA",0.00000000794,"NA","NA","NA","NA","NA","NA","MLO",1437.931307,59.35427055,415.4798938,136,335,20,48,1,"winter",0
200,1979,4,17,"NA","NA",14.9,"NA","NA",10,"NA","NA","NA","NA","NA","NA",242,295,"NA",52,31,258,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.11,0.68,"NA","NA","NA","NA","NA","NA",10.5,"NA",58.06854014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","MLO",,,,136,335,20,48,1,"winter",0
201,1979,5,18,20,750,15.9,121,"NA","NA",8.3,4,2.6,"NA","NA",5,227,265,6,52,30,255,78,"NA",205,21,"NA",0.05,"NA","NA","NA","NA","NA","NA","NA",0.91,12.4,"NA","NA",0,0,"NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.09,0.83,"NA","NA","NA","NA","NA","NA",10.5,0.619693269,52.16326487,1.200891868,0.013125,6.482811399,10.3691816,0.000000329,0.0000000000427,0.00000000501,0.014880334,0.976790152,0.008329514,53.36415674,54.17022781,4514.185651,"MLO",822.4741595,24.18982527,169.3287769,136,335,20,48,1,"winter",0
202,1979,5,19,20,"NA",17.8,138,"NA",25,8.2,4.5,3,"NA","NA",5,228,266,6,51,30,252,"NA","NA",155,21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.21,0.57,"NA","NA","NA","NA","NA","NA",10.5,"NA",52.36010738,1.200891868,"NA","NA","NA","NA","NA",0.00000000631,"NA","NA","NA",53.56099925,"NA","NA","MLO",1036.699988,35.11971753,245.8380227,136,335,20,48,1,"winter",0
203,1979,5,20,20,750,14.9,115,"NA",30,8.1,4.5,3.2,"NA","NA","NA",233,284,"NA",52,31,256,78,"NA",165,21,0,0.19,"NA","NA",0,0.19,"NA","NA","NA",1.16,10.7,"NA","NA",0,0,2.1,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.12,0.57,"NA","NA","NA","NA","NA","NA",10.5,0.610471587,55.90327254,"NA",0.013125,6.476858149,10.3627141,0.000000334,0.0000000000434,0.00000000794,0.023138013,0.971556151,0.005305836,"NA","NA","NA","MLO",1299.359434,49.00421758,343.0295231,136,335,20,48,2,"Spring","Spring"
204,1979,5,21,30,490,12.8,102,"NA",25,8.3,5.5,6,"NA","NA",5,147,167,6,34,20,165,51,"NA",105,13.5,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,"NA","NA",0,"NA",1.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,0.42,0.3,"NA","NA","NA","NA","NA","NA",10.5,0.380447584,32.87269899,1.200891868,0.008575,6.473345733,10.38342443,0.000000336,0.0000000000414,0.00000000501,0.014568107,0.977366362,0.008065531,34.07359086,34.57731691,2881.443076,"MLO",736.2369276,18.58043549,130.0630484,136,335,20,48,2,"Spring","Spring"
205,1979,6,22,20,520,11.4,104,"NA","NA",8.4,11,5,"NA","NA",5,152,173,6,34,19,179,"NA","NA",105,13.5,0,"NA","NA","NA","NA",0.19,"NA","NA","NA","NA",10.5,"NA","NA","NA","NA",0.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,1,0.29,0.22,"NA","NA","NA","NA","NA","NA",10.5,0.347738719,34.05375405,1.200891868,0.0091,6.407253546,10.31188019,0.000000392,0.0000000000488,0.00000000398,0.009945465,0.978073583,0.011980952,35.25464592,35.60879189,2967.399325,"MLO",630.3601019,11.28185245,78.97296718,136,335,20,48,2,"Spring","Spring"
206,1979,6,23,20,"NA",11.3,106,"NA",25,8.6,12.5,2.9,"NA","NA",6,155,174,7,35,20,171,47,"NA",110,13.5,0,0.14,"NA","NA","NA","NA","NA","NA","NA",1.13,12.2,"NA","NA",0,0,0.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,0.17,0.13,"NA","NA","NA","NA","NA","NA",10.5,"NA",34.25059656,1.401040512,"NA","NA","NA","NA","NA",0.00000000251,"NA","NA","NA",35.65163707,"NA","NA","MLO",404.6434905,1.323212833,9.262489832,136,335,20,48,3,"summer",0
207,1979,6,24,20,500,12.4,117,"NA",30,8.6,12.5,6,"NA","NA",9,157,170,11,37,19,171,"NA","NA",100,13.5,0,0.32,"NA","NA","NA",0.24,"NA","NA","NA",1.3,7.8,"NA","NA",0,1,0.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,0.49,0.12,"NA","NA","NA","NA","NA","NA",10.5,0.321244671,33.46322652,2.201635091,0.00875,6.390363795,10.29739268,0.000000407,0.0000000000504,0.00000000251,0.006013305,0.974427241,0.019559454,35.66486161,35.88062273,2990.051894,"MLO",400.5891722,1.143936464,8.007555247,136,335,20,48,3,"summer",0
208,1979,6,25,35,503,10.1,99,"NA","NA",8.65,14.5,3.6,"NA","NA",10,156,166,12,35,20,169,47,"NA",120,14.5,0,0.32,"NA","NA","NA",0.19,"NA","NA","NA",1.3,9.9,"NA","NA",0,1,0.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,0.21,0.4,"NA","NA","NA","NA","NA","NA",10.5,0.307493509,32.67585649,2.401783735,0.0088025,6.366848298,10.27441469,0.00000043,0.0000000000532,0.00000000224,0.005063509,0.971859001,0.02307749,35.07764022,35.25616009,2938.013341,"MLO",366.3801122,-0.370722068,-2.595054473,136,335,20,48,3,"summer",0
209,1979,6,26,35,"NA",9.9,103,"NA",25,8.6,17,5.7,"NA","NA",12,156,161,14,35,20,170,48,"NA",100,12.5,0,0.39,"NA","NA","NA","NA","NA","NA","NA",1.4,10.7,"NA","NA","NA","NA",0.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,1,0.08,0.6,"NA","NA","NA","NA","NA","NA",10.5,"NA",31.69164394,2.802081025,"NA","NA","NA","NA","NA",0.00000000251,"NA","NA","NA",34.49372497,"NA","NA","MLO",425.7388531,2.245741705,15.72019194,136,335,20,48,3,"summer",0
210,1979,7,27,"NA","NA",8.2,88,"NA","NA",8.4,18.5,7,"NA","NA",6,132,146,7,28,19,148,56,"NA",100,12.5,0,0.6,"NA","NA","NA",0.19,"NA","NA","NA",1.75,9.7,"NA","NA",0,1,0.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.1,0.85,"NA","NA","NA","NA","NA","NA",10.5,"NA",28.73900631,1.401040512,"NA","NA","NA","NA","NA",0.00000000398,"NA","NA","NA",30.14004682,"NA","NA","MLO",691.007693,12.91734752,90.42143263,136,335,20,48,3,"summer",0
211,1979,7,28,30,460,10,110,"NA",30,8.6,20,8.5,"NA","NA","NA",131,143,8,26,19,143,50,"NA",120,13,0,0.49,"NA","NA","NA",0.22,"NA","NA","NA",1.58,14.3,"NA","NA",0,1,1.2,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.08,0.7,"NA","NA","NA","NA","NA","NA",10.5,0.246827135,28.14847878,1.601189157,0.00805,6.304545276,10.2225811,0.000000496,0.0000000000599,0.00000000251,0.004922294,0.971901562,0.023176144,29.74966794,29.89682892,2491.40241,"MLO",435.1846143,2.816688935,19.71682254,136,335,20,48,3,"summer",0
212,1979,7,29,35,475,"NA","NA","NA","NA",8.95,18,5.9,"NA","NA",11,135,137,13,26,18,140,48,"NA",115,12.5,0,0.38,"NA","NA",45,0.25,"NA",0.1,0.1,2.1,11.9,"NA","NA",0,1,2.1,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.09,0.9,"NA","NA","NA","NA","NA","NA",10.5,0.266815342,26.96742373,2.60193238,0.0083125,6.327137647,10.24085459,0.000000471,0.0000000000574,0.00000000112,0.002261908,0.949155277,0.048582815,29.56935611,29.63639089,2469.699241,"MLO",187.2009143,-10.59758348,-74.18308438,136,335,20,48,3,"summer",0
213,1979,7,30,50,"NA",7.2,79,"NA",25,8.8,19.5,8.6,"NA","NA",10,132,136,12,21,19,132,46,"NA",100,11.5,0,0.49,"NA","NA",103,0.2,"NA","NA","NA",2.1,14.9,"NA","NA",0,2,3,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.06,0.3,"NA","NA","NA","NA","NA","NA",10.5,"NA",26.77058122,2.401783735,"NA","NA","NA","NA","NA",0.00000000158,"NA","NA","NA",29.17236495,"NA","NA","MLO",272.6589496,-5.423442634,-37.96409844,136,335,20,48,3,"summer",0
214,1979,8,31,45,440,9.3,100,"NA",25,9.1,19,8.7,"NA","NA",14,127,121,16,22,19,132,47,"NA",95,12.5,0,0.56,"NA","NA",103,0.19,"NA","NA","NA",2.4,14.9,"NA","NA",0,"NA",2.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.06,0.3,"NA","NA","NA","NA","NA","NA",10.5,0.24118451,23.81794358,3.202378314,0.0077,6.316896465,10.23589186,0.000000482,0.0000000000581,0.000000000794,0.001533123,0.930423069,0.068043808,27.0203219,27.06181098,2255.150915,"MLO",130.2145367,-16.63280581,-116.4296407,136,335,20,48,3,"summer",0
215,1979,8,32,50,450,9.6,102,"NA",20,9.2,18,8.1,"NA","NA",15,129,120,18,26,16,136,50,"NA",115,9.5,0,0.56,"NA","NA","NA",0.2,"NA","NA","NA",2,15.7,"NA","NA",0,1,"NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.09,0.25,"NA","NA","NA","NA","NA","NA",10.5,0.252442562,23.62110107,3.602675603,0.007875,6.328096724,10.2446909,0.00000047,0.0000000000569,0.000000000631,0.001230403,0.916116382,0.082653215,27.22377668,27.25731416,2271.442846,"MLO",101.33606,-19.40683727,-135.8478609,136,335,20,48,3,"summer",0
216,1979,8,33,60,420,7.6,79,"NA","NA",9,17,9.3,"NA","NA",13,128,124,16,23,18,132,49,"NA",110,13,0,0.47,"NA","NA",96,0.2,"NA","NA","NA",2.1,15.8,"NA","NA",0,0,4.5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.07,0.2,"NA","NA","NA","NA","NA","NA",10.5,0.240717127,24.40847111,3.202378314,0.00735,6.340906577,10.26002031,0.000000456,0.000000000055,0.000000001,0.002073827,0.945945057,0.051981117,27.61084942,27.66822854,2305.685712,"MLO",159.3228764,-12.18039619,-85.26277336,136,335,20,48,3,"summer",0
217,1979,8,34,45,420,9.2,95,"NA",20,9.2,17,8.5,"NA","NA",16.2,122.8,110.2,19.5,23.2,18.1,132.5,53,"NA",100,13,0,0.42,"NA","NA",63,"NA","NA","NA","NA",2,15,"NA","NA",0.1,1.2,5.3,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.08,0.28,"NA","NA","NA","NA","NA","NA",10.5,0.240717127,21.69204449,3.90289857,0.00735,6.340906577,10.26002031,0.000000456,0.000000000055,0.000000000631,0.001270831,0.918716084,0.080013084,25.59494306,25.6275113,2135.625942,"MLO",98.4596448,-18.56914763,-129.9840334,136,335,20,48,3,"summer",0
218,1979,8,35,45,450,8.4,85,"NA",25,9,16,7.5,"NA","NA",18,130,113,22,23,19,137,"NA","NA",110,14,0,"NA","NA","NA",46,"NA","NA","NA","NA","NA",13.1,"NA","NA",0,"NA",7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.09,0.25,"NA","NA","NA","NA","NA","NA",10.5,0.264478102,22.24320351,4.403270182,0.007875,6.351348724,10.2659709,0.000000445,0.0000000000542,0.000000001,0.00212569,0.946566863,0.051307446,26.64647369,26.70323651,2225.269709,"MLO",159.7116078,-11.70182125,-81.91274873,136,335,20,48,3,"summer",0
219,1979,9,36,40,480,7.2,77,"NA","NA",8.8,18.5,6,"NA","NA",5,136,153,6,24,21,149,"NA","NA",130,14,0,0.4,"NA","NA","NA","NA","NA","NA","NA",1.8,12.4,"NA","NA",0,1,7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.1,0.1,"NA","NA","NA","NA","NA","NA",10.5,0.266629797,30.11690387,1.200891868,0.0084,6.321150317,10.23489477,0.000000477,0.0000000000582,0.00000000158,0.003192222,0.961485558,0.03532222,31.31779574,31.41808925,2618.174104,"MLO",269.4062054,-5.398921287,-37.79244901,136,335,20,48,4,"fall",0
220,1979,9,37,35,495,7,72,"NA","NA",8.85,16.5,4.2,"NA","NA",6,140,156,7,28,19,149,"NA","NA",115,13,0,0.33,"NA","NA","NA","NA","NA","NA","NA",1.36,14.6,"NA","NA",0,1,7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.11,0.1,"NA","NA","NA","NA","NA","NA",10.5,0.288247483,30.7074314,1.401040512,0.0086625,6.343823193,10.25376627,0.000000453,0.0000000000557,0.00000000141,0.00299028,0.959154791,0.037854929,32.10847191,32.20477321,2683.7311,"MLO",234.6890444,-6.99522745,-48.96659215,136,335,20,48,4,"fall",0
221,1979,9,38,35,450,8.3,83,"NA",15,8.4,15,4.7,"NA","NA","NA",140,171,"NA",30,21,161,52,"NA",110,14,0,0.26,"NA","NA","NA",0.29,"NA","NA","NA",1.3,13.9,"NA","NA","NA",1,7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.28,0.1,"NA","NA","NA","NA","NA","NA",10.5,0.270883423,33.66006903,"NA",0.007875,6.363007724,10.2768809,0.000000434,0.0000000000529,0.00000000398,0.00898175,0.978032343,0.012985908,"NA","NA","NA","MLO",639.9178186,10.93851391,76.56959738,136,335,20,48,4,"fall",0
222,1979,9,39,35,500,7.6,74,"NA","NA",8.5,14,4.2,"NA","NA","NA",143,174,"NA",39,17,167,52,"NA",115,14,0,0.28,"NA","NA","NA","NA","NA","NA","NA",1.2,12.5,"NA","NA","NA",1,8.7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.12,0.1,"NA","NA","NA","NA","NA","NA",10.5,0.309388092,34.25059656,"NA",0.00875,6.372801045,10.28042018,0.000000424,0.0000000000524,0.00000000316,0.007285909,0.976523507,0.016190584,"NA","NA","NA","MLO",514.5279329,5.956599925,41.69619947,136,335,20,48,4,"fall",0
223,1979,10,40,30,540,8.9,85,"NA","NA",8.3,13,3.8,"NA","NA",1,154,186,1,35,21,173,49,"NA",120,14.5,0,0.33,"NA","NA","NA",0.22,"NA","NA","NA",1.12,"NA","NA","NA","NA",1,6.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0.12,0.15,"NA","NA","NA","NA","NA","NA",10.5,0.343456877,36.61270666,0.200148645,0.00945,6.383076018,10.28597807,0.000000414,0.0000000000518,0.00000000501,0.011842402,0.978056102,0.010101496,36.81285531,37.25403252,3104.50271,"MLO",820.6214062,18.64005454,130.4803818,136,335,20,48,4,"fall",0
