"lakeid","season","iceon","ice_on","iceoff","ice_off","ice_duration","year4"
"ME","1891-1892",1891361,"1891-12-27",189293,"1892-4-2",97,1891
"ME","1892-1893",1892351,"1892-12-16",189397,"1893-4-7",112,1892
"ME","1893-1894",1893338,"1893-12-4",189474,"1894-3-15",101,1893
"ME","1894-1895",1894362,"1894-12-28",189598,"1895-4-8",101,1894
"ME","1895-1896",18965,"1896-1-5",189696,"1896-4-5",91,1895
"ME","1896-1897",1896356,"1896-12-21",1897100,"1897-4-10",110,1896
"ME","1897-1898",1897351,"1897-12-17",189886,"1898-3-27",100,1897
"ME","1898-1899",1898343,"1898-12-9",1899108,"1899-4-18",130,1898
"ME","1899-1900",1899361,"1899-12-27",1900107,"1900-4-17",111,1899
"ME","1900-1901",1900359,"1900-12-25",1901101,"1901-4-11",107,1900
"ME","1901-1902",1901349,"1901-12-15",190289,"1902-3-30",105,1901
"ME","1902-1903",1902359,"1902-12-25",190383,"1903-3-24",89,1902
"ME","1903-1904",1903347,"1903-12-13",1904108,"1904-4-17",126,1903
"ME","1904-1905",1904349,"1904-12-14",190591,"1905-4-1",108,1904
"ME","1905-1906",19061,"1906-1-1",190698,"1906-4-8",97,1905
"ME","1906-1907",1906354,"1906-12-20",190783,"1907-3-24",94,1906
"ME","1907-1908",19081,"1908-1-1",190884,"1908-3-24",83,1907
"ME","1908-1909",1908357,"1908-12-22",190997,"1909-4-7",106,1908
"ME","1909-1910",1909352,"1909-12-18",191085,"1910-3-26",98,1909
"ME","1910-1911",1910343,"1910-12-9",191179,"1911-3-20",101,1910
"ME","1911-1912",1911362,"1911-12-28",1912105,"1912-4-14",108,1911
"ME","1912-1913",1912359,"1912-12-24",191392,"1913-4-2",99,1912
"ME","1913-1914",191412,"1914-1-12",1914100,"1914-4-10",88,1913
"ME","1914-1915",1914350,"1914-12-16",1915100,"1915-4-10",115,1914
"ME","1915-1916",1915362,"1915-12-28",191699,"1916-4-8",102,1915
"ME","1916-1917",1916351,"1916-12-16",1917101,"1917-4-11",116,1916
"ME","1917-1918",1917345,"1917-12-11",191895,"1918-4-5",115,1917
"ME","1918-1919",19193,"1919-1-3",191985,"1919-3-26",82,1918
"ME","1919-1920",1919343,"1919-12-9",192088,"1920-3-28",110,1919
"ME","1920-1921",1920360,"1920-12-25",192175,"1921-3-16",81,1920
"ME","1921-1922",1921359,"1921-12-25",192290,"1922-3-31",96,1921
"ME","1922-1923",1922350,"1922-12-16",1923110,"1923-4-20",125,1922
"ME","1923-1924",19241,"1924-1-1",1924105,"1924-4-14",104,1923
"ME","1924-1925",1924354,"1924-12-19",192593,"1925-4-3",105,1924
"ME","1925-1926",1925350,"1925-12-16",1926109,"1926-4-19",124,1925
"ME","1926-1927",1926340,"1926-12-6",192778,"1927-3-19",103,1926
"ME","1927-1928",1927351,"1927-12-17",192892,"1928-4-1",106,1927
"ME","1928-1929",1928356,"1928-12-21",192986,"1929-3-27",96,1928
"ME","1929-1930",1929337,"1929-12-3",193079,"1930-3-20",107,1929
"ME","1930-1931",1930350,"1930-12-16",193183,"1931-3-24",98,1930
"ME","1931-1932",193230,"1932-1-30",193295,"1932-4-4",65,1931
"ME","1932-1933",1932345,"1932-12-10",193394,"1933-4-4",115,1932
"ME","1933-1934",1933359,"1933-12-25",193485,"1934-3-26",91,1933
"ME","1934-1935",1934358,"1934-12-24",193587,"1935-3-28",94,1934
"ME","1935-1936",1935354,"1935-12-20",193690,"1936-3-30",101,1935
"ME","1936-1937",1936342,"1936-12-7",1937103,"1937-4-13",121,1936
"ME","1937-1938",1937341,"1937-12-7",193881,"1938-3-22",105,1937
"ME","1938-1939",1938362,"1938-12-28",193994,"1939-4-4",97,1938
"ME","1939-1940",19402,"1940-1-2",1940107,"1940-4-16",105,1939
"ME","1940-1941",19415,"1941-1-5",1941101,"1941-4-11",96,1940
"ME","1941-1942",19423,"1942-1-3",194285,"1942-3-26",82,1941
"ME","1942-1943",1942341,"1942-12-7",194392,"1943-4-2",116,1942
"ME","1943-1944",1943350,"1943-12-16",194499,"1944-4-8",114,1943
"ME","1944-1945",1944353,"1944-12-18",194579,"1945-3-20",92,1944
"ME","1945-1946",1945347,"1945-12-13",194680,"1946-3-21",98,1945
"ME","1946-1947",1946364,"1946-12-30",1947100,"1947-4-10",101,1946
"ME","1947-1948",1947355,"1947-12-21",194894,"1948-4-3",104,1947
"ME","1948-1949",1948359,"1948-12-24",194989,"1949-3-30",96,1948
"ME","1949-1950",1949357,"1949-12-23",1950101,"1950-4-11",109,1949
"ME","1950-1951",1950345,"1950-12-11",1951102,"1951-4-12",122,1950
"ME","1951-1952",1951350,"1951-12-16",195299,"1952-4-8",114,1951
"ME","1952-1953",1952365,"1952-12-30",195380,"1953-3-21",81,1952
"ME","1953-1954",1953364,"1953-12-30",195484,"1954-3-25",85,1953
"ME","1954-1955",19552,"1955-1-2",195594,"1955-4-4",92,1954
"ME","1955-1956",1955346,"1955-12-12",195695,"1956-4-4",114,1955
"ME","1956-1957",1956349,"1956-12-14",195794,"1957-4-4",111,1956
"ME","1957-1958",1957364,"1957-12-30",195894,"1958-4-4",95,1957
"ME","1958-1959",1958343,"1958-12-9",1959104,"1959-4-14",126,1958
"ME","1959-1960",1959363,"1959-12-29",1960103,"1960-4-12",105,1959
"ME","1960-1961",1960354,"1960-12-19",196196,"1961-4-6",108,1960
"ME","1961-1962",1961350,"1961-12-16",1962102,"1962-4-12",117,1961
"ME","1962-1963",1962346,"1962-12-12",196393,"1963-4-3",112,1962
"ME","1963-1964",1963354,"1963-12-20",1964102,"1964-4-11",113,1963
"ME","1964-1965",1964350,"1964-12-15",1965104,"1965-4-14",120,1964
"ME","1965-1966",196611,"1966-1-11",196676,"1966-3-17",65,1965
"ME","1966-1967",1966360,"1966-12-26",196793,"1967-4-3",98,1966
"ME","1967-1968",1967361,"1967-12-27",196887,"1968-3-27",91,1967
"ME","1968-1969",1968352,"1968-12-17",1969100,"1969-4-10",108,1968
"ME","1969-1970",1969350,"1969-12-16",197098,"1970-4-8",113,1969
"ME","1970-1971",1970358,"1970-12-24",1971103,"1971-4-13",110,1970
"ME","1971-1972",19725,"1972-1-5",1972110,"1972-4-19",105,1971
"ME","1972-1973",1972342,"1972-12-7",197373,"1973-3-14",97,1972
"ME","1973-1974",1973355,"1973-12-21",197495,"1974-4-5",105,1973
"ME","1974-1975",19752,"1975-1-2",1975109,"1975-4-19",107,1974
"ME","1975-1976",1975361,"1975-12-27",197684,"1976-3-24",88,1975
"ME","1976-1977",1976338,"1976-12-3",197787,"1977-3-28",115,1976
"ME","1977-1978",1977341,"1977-12-7",1978101,"1978-4-11",123,1977
"ME","1978-1979",1978344,"1978-12-10",1979109,"1979-4-19",118,1978
"ME","1979-1980",1979363,"1979-12-29",198097,"1980-4-6",99,1979
"ME","1980-1981",1980355,"1980-12-20",198182,"1981-3-23",93,1980
"ME","1981-1982",1981362,"1981-12-28",198293,"1982-4-3",96,1981
"ME","1982-1983",198313,"1983-1-13",198367,"1983-3-8",54,1982
"ME","1983-1984",1983353,"1983-12-19",198499,"1984-4-8",111,1983
"ME","1984-1985",1984360,"1984-12-25",198586,"1985-3-27",85,1984
"ME","1985-1986",1985348,"1985-12-14",198690,"1986-3-31",107,1985
"ME","1986-1987",1986347,"1986-12-13",198771,"1987-3-12",89,1986
"ME","1987-1988",19882,"1988-1-2",198889,"1988-3-29",87,1987
"ME","1988-1989",1988364,"1988-12-29",198995,"1989-4-5",97,1988
"ME","1989-1990",1989346,"1989-12-12",199074,"1990-3-15",93,1989
"ME","1990-1991",1990360,"1990-12-26",199183,"1991-3-24",88,1990
"ME","1991-1992",1991352,"1991-12-18",199286,"1992-3-26",99,1991
"ME","1992-1993",1992359,"1992-12-24",1993101,"1993-4-11",108,1992
"ME","1993-1994",1993361,"1993-12-27",199490,"1994-3-31",94,1993
"ME","1994-1995",19956,"1995-1-6",199580,"1995-3-21",74,1994
"ME","1995-1996",1995344,"1995-12-10",199698,"1996-4-7",119,1995
"ME","1996-1997",1996355,"1996-12-20",199791,"1997-4-1",102,1996
"ME","1997-1998",199811,"1998-1-11",199858,"1998-2-27",47,1997
"ME","1998-1999",1998364,"1998-12-30",199980,"1999-3-21",81,1998
"ME","1999-2000",200014,"2000-1-14",200067,"2000-3-7",53,1999
"ME","2000-2001",2000348,"2000-12-13",200197,"2001-4-7",115,2000
"ME","2001-2002",20022,"2002-1-2",200274,"2002-3-15",21,2001
"ME","2002-2003",20034,"2003-1-4",200393,"2003-4-3",89,2002
"ME","2003-2004",20047,"2004-1-7",200487,"2004-3-27",80,2003
"ME","2004-2005",2004360,"2004-12-25",200595,"2005-4-5",101,2004
"ME","2005-2006",2005353,"2005-12-19",200683,"2006-3-24",95,2005
"ME","2006-2007",200720,"2007-1-20",200786,"2007-3-27",66,2006
"ME","2007-2008",2007360,"2007-12-26",2008101,"2008-4-10",106,2007
"ME","2008-2009",2008351,"2008-12-16",200982,"2009-3-23",97,2008
"ME","2009-2010",2009363,"2009-12-29",201085,"2010-3-26",87,2009
"ME","2010-2011",2010349,"2010-12-15",201193,"2011-4-3",110,2010
"ME","2011-2012",201214,"2012-1-14",201271,"2012-3-11",57,2011
"ME","2012-2013",201314,"2013-1-14",2013101,"2013-4-11",87,2012
"ME","2013-2014",2013350,"2013-12-16",2014102,"2014-4-12",117,2013
"ME","2014-2015",20152,"2015-1-2",201593,"2015-4-3",91,2014
"ME","2015-2016",201611,"2016-1-11",201673,"2016-3-13",62,2015
"ME","2016-2017",20171,"2017-1-1",201766,"2017-3-7",65,2016
"ME","2017-2018",2017361,"2017-12-27",201890,"2018-3-31",94,2017
"ME","2018-2019",2018349,"2018-12-15",201990,"2019-3-31",86,2018
"ME","2019-2020",202012,"2020-1-12",202082,"2020-3-22",70,2019
"MO","1851-1852",1851347,"1851-12-13",185285,"1852-3-25",103,1851
"MO","1853-1854",1853355,"1853-12-21",,,-999,1853
"MO","1855-1856",1855352,"1855-12-18",1856105,"1856-4-14",118,1855
"MO","1856-1857",1856339,"1856-12-4",1857124,"1857-5-4",151,1856
"MO","1857-1858",1857327,"1857-11-23",185881,"1858-3-22",119,1857
"MO","1858-1859",1858345,"1858-12-11",185974,"1859-3-15",94,1858
"MO","1859-1860",1859340,"1859-12-6",186086,"1860-3-26",111,1859
"MO","1860-1861",1860337,"1860-12-2",1861100,"1861-4-10",129,1860
"MO","1861-1862",1861335,"1861-12-1",1862103,"1862-4-13",133,1861
"MO","1862-1863",1862341,"1862-12-7",186395,"1863-4-5",119,1862
"MO","1863-1864",1863345,"1863-12-11",1864111,"1864-4-20",131,1863
"MO","1864-1865",1864344,"1864-12-9",186595,"1865-4-5",117,1864
"MO","1865-1866",1865348,"1865-12-14",1866108,"1866-4-18",125,1865
"MO","1866-1867",1866346,"1866-12-12",1867109,"1867-4-19",128,1866
"MO","1867-1868",1867348,"1867-12-14",186891,"1868-3-31",108,1867
"MO","1868-1869",1868345,"1868-12-10",1869105,"1869-4-15",126,1868
"MO","1869-1870",1869328,"1869-11-24",1870101,"1870-4-11",138,1869
"MO","1870-1871",1870356,"1870-12-22",187191,"1871-4-1",100,1870
"MO","1871-1872",1871334,"1871-11-30",1872111,"1872-4-20",142,1871
"MO","1872-1873",1872333,"1872-11-28",1873108,"1873-4-18",141,1872
"MO","1873-1874",1873333,"1873-11-29",1874104,"1874-4-14",136,1873
"MO","1874-1875",1874346,"1874-12-12",1875104,"1875-4-14",123,1874
"MO","1875-1876",187610,"1876-1-10",1876101,"1876-4-10",91,1875
"MO","1876-1877",1876340,"1876-12-5",1877106,"1877-4-16",132,1876
"MO","1877-1878",18786,"1878-1-6",187868,"1878-3-9",62,1877
"MO","1878-1879",1878350,"1878-12-16",1879100,"1879-4-10",115,1878
"MO","1879-1880",1879350,"1879-12-16",188078,"1880-3-18",93,1879
"MO","1880-1881",1880327,"1880-11-22",1881121,"1881-5-1",160,1880
"MO","1881-1882",18821,"1882-1-1",188278,"1882-3-19",77,1881
"MO","1882-1883",1882341,"1882-12-7",1883103,"1883-4-13",127,1882
"MO","1883-1884",1883351,"1883-12-17",1884106,"1884-4-15",120,1883
"MO","1884-1885",1884352,"1884-12-17",1885107,"1885-4-17",121,1884
"MO","1885-1886",1885341,"1885-12-7",1886107,"1886-4-17",131,1885
"MO","1886-1887",1886339,"1886-12-5",1887105,"1887-4-15",131,1886
"MO","1887-1888",1887332,"1887-11-28",1888104,"1888-4-13",137,1887
"MO","1888-1889",1888364,"1888-12-29",188985,"1889-3-26",87,1888
"MO","1889-1890",189014,"1890-1-14",189088,"1890-3-29",74,1889
"MO","1890-1891",1890358,"1890-12-24",1891106,"1891-4-16",113,1890
"MO","1891-1892",1891361,"1891-12-27",189292,"1892-4-1",96,1891
"MO","1892-1893",1892346,"1892-12-11",189397,"1893-4-7",117,1892
"MO","1893-1894",1893336,"1893-12-2",189470,"1894-3-11",99,1893
"MO","1894-1895",1894359,"1894-12-25",189598,"1895-4-8",104,1894
"MO","1895-1896",1895338,"1895-12-4",189692,"1896-4-1",119,1895
"MO","1896-1897",1896338,"1896-12-3",189795,"1897-4-5",123,1896
"MO","1897-1898",1897349,"1897-12-15",189885,"1898-3-26",101,1897
"MO","1898-1899",1898341,"1898-12-7",1899105,"1899-4-15",129,1898
"MO","1899-1900",1899359,"1899-12-25",1900106,"1900-4-16",112,1899
"MO","1900-1901",1900348,"1900-12-14",1901101,"1901-4-11",118,1900
"MO","1901-1902",1901348,"1901-12-14",190286,"1902-3-27",103,1901
"MO","1902-1903",1902360,"1902-12-26",190380,"1903-3-21",85,1902
"MO","1903-1904",1903331,"1903-11-27",1904106,"1904-4-15",140,1903
"MO","1904-1905",1904348,"1904-12-13",190593,"1905-4-3",111,1904
"MO","1905-1906",1905348,"1905-12-14",190698,"1906-4-8",115,1905
"MO","1906-1907",1906342,"1906-12-8",190783,"1907-3-24",106,1906
"MO","1907-1908",1907345,"1907-12-11",190886,"1908-3-26",106,1907
"MO","1908-1909",1908344,"1908-12-9",190996,"1909-4-6",118,1908
"MO","1909-1910",1909352,"1909-12-18",191083,"1910-3-24",96,1909
"MO","1910-1911",1910342,"1910-12-8",191180,"1911-3-21",103,1910
"MO","1911-1912",1911352,"1911-12-18",1912100,"1912-4-9",113,1911
"MO","1912-1913",1912354,"1912-12-19",191392,"1913-4-2",104,1912
"MO","1913-1914",1913361,"1913-12-27",191479,"1914-3-20",83,1913
"MO","1914-1915",1914349,"1914-12-15",191599,"1915-4-9",115,1914
"MO","1915-1916",1915349,"1915-12-15",191695,"1916-4-4",111,1915
"MO","1916-1917",1916351,"1916-12-16",1917101,"1917-4-11",116,1916
"MO","1917-1918",1917342,"1917-12-8",191893,"1918-4-3",116,1917
"MO","1918-1919",1918361,"1918-12-27",191979,"1919-3-20",83,1918
"MO","1919-1920",1919337,"1919-12-3",192088,"1920-3-28",116,1919
"MO","1920-1921",1920356,"1920-12-21",192175,"1921-3-16",85,1920
"MO","1921-1922",1921353,"1921-12-19",192284,"1922-3-25",96,1921
"MO","1922-1923",1922347,"1922-12-13",1923109,"1923-4-19",127,1922
"MO","1923-1924",19241,"1924-1-1",1924104,"1924-4-13",103,1923
"MO","1924-1925",1924349,"1924-12-14",192586,"1925-3-27",103,1924
"MO","1925-1926",1925344,"1925-12-10",1926105,"1926-4-15",126,1925
"MO","1926-1927",1926339,"1926-12-5",192776,"1927-3-17",102,1926
"MO","1927-1928",1927343,"1927-12-9",192886,"1928-3-26",108,1927
"MO","1928-1929",1928356,"1928-12-21",192986,"1929-3-27",96,1928
"MO","1929-1930",1929337,"1929-12-3",193076,"1930-3-17",104,1929
"MO","1930-1931",1930350,"1930-12-16",193183,"1931-3-24",98,1930
"MO","1931-1932",193230,"1932-1-30",193290,"1932-3-30",60,1931
"MO","1932-1933",1932345,"1932-12-10",193386,"1933-3-27",107,1932
"MO","1933-1934",1933347,"1933-12-13",193485,"1934-3-26",103,1933
"MO","1934-1935",1934354,"1934-12-20",193587,"1935-3-28",98,1934
"MO","1935-1936",1935345,"1935-12-11",193687,"1936-3-27",107,1935
"MO","1936-1937",1936339,"1936-12-4",1937102,"1937-4-12",123,1936
"MO","1937-1938",1937335,"1937-12-1",193881,"1938-3-22",111,1937
"MO","1938-1939",1938353,"1938-12-19",193990,"1939-3-31",102,1938
"MO","1939-1940",1939365,"1939-12-31",1940102,"1940-4-11",102,1939
"MO","1940-1941",1940338,"1940-12-3",194199,"1941-4-9",127,1940
"MO","1941-1942",1941363,"1941-12-29",194283,"1942-3-24",85,1941
"MO","1942-1943",1942341,"1942-12-7",194390,"1943-3-31",114,1942
"MO","1943-1944",1943348,"1943-12-14",194484,"1944-3-24",101,1943
"MO","1944-1945",1944353,"1944-12-18",194576,"1945-3-17",89,1944
"MO","1945-1946",1945346,"1945-12-12",194680,"1946-3-21",99,1945
"MO","1946-1947",1946352,"1946-12-18",194795,"1947-4-5",108,1946
"MO","1947-1948",1947343,"1947-12-9",194886,"1948-3-26",108,1947
"MO","1948-1949",1948359,"1948-12-24",194985,"1949-3-26",92,1948
"MO","1949-1950",1949349,"1949-12-15",195097,"1950-4-7",113,1949
"MO","1950-1951",1950345,"1950-12-11",195198,"1951-4-8",118,1950
"MO","1951-1952",1951350,"1951-12-16",195297,"1952-4-6",112,1951
"MO","1952-1953",1952352,"1952-12-17",195379,"1953-3-20",93,1952
"MO","1953-1954",1953364,"1953-12-30",195471,"1954-3-12",72,1953
"MO","1954-1955",1954365,"1954-12-31",195583,"1955-3-24",83,1954
"MO","1955-1956",1955340,"1955-12-6",195684,"1956-3-24",109,1955
"MO","1956-1957",1956348,"1956-12-13",195774,"1957-3-15",92,1956
"MO","1957-1958",1957346,"1957-12-12",195890,"1958-3-31",109,1957
"MO","1958-1959",1958342,"1958-12-8",1959102,"1959-4-12",125,1958
"MO","1959-1960",1959363,"1959-12-29",196099,"1960-4-8",101,1959
"MO","1960-1961",1960354,"1960-12-19",196186,"1961-3-27",98,1960
"MO","1961-1962",1961349,"1961-12-15",196297,"1962-4-7",113,1961
"MO","1962-1963",1962346,"1962-12-12",196393,"1963-4-3",112,1962
"MO","1963-1964",1963352,"1963-12-18",196479,"1964-3-19",92,1963
"MO","1964-1965",1964350,"1964-12-15",196598,"1965-4-8",114,1964
"MO","1965-1966",196611,"1966-1-11",196676,"1966-3-17",65,1965
"MO","1966-1967",19675,"1967-1-5",196793,"1967-4-3",88,1966
"MO","1967-1968",1967358,"1967-12-24",196880,"1968-3-20",87,1967
"MO","1968-1969",1968350,"1968-12-15",196985,"1969-3-26",101,1968
"MO","1969-1970",1969350,"1969-12-16",197077,"1970-3-18",92,1969
"MO","1970-1971",1970349,"1970-12-15",197177,"1971-3-18",93,1970
"MO","1971-1972",19724,"1972-1-4",197299,"1972-4-8",95,1971
"MO","1972-1973",1972342,"1972-12-7",197366,"1973-3-7",90,1972
"MO","1973-1974",1973354,"1973-12-20",197483,"1974-3-24",94,1973
"MO","1974-1975",19752,"1975-1-2",197597,"1975-4-7",95,1974
"MO","1975-1976",1975355,"1975-12-21",197680,"1976-3-20",90,1975
"MO","1976-1977",1976336,"1976-12-1",197773,"1977-3-14",103,1976
"MO","1977-1978",1977341,"1977-12-7",197897,"1978-4-7",121,1977
"MO","1978-1979",1978343,"1978-12-9",197995,"1979-4-5",117,1978
"MO","1979-1980",1979351,"1979-12-17",198090,"1980-3-30",104,1979
"MO","1980-1981",1980355,"1980-12-20",198175,"1981-3-16",86,1980
"MO","1981-1982",1981354,"1981-12-20",198289,"1982-3-30",100,1981
"MO","1982-1983",19839,"1983-1-9",198365,"1983-3-6",56,1982
"MO","1983-1984",1983352,"1983-12-18",198494,"1984-4-3",107,1983
"MO","1984-1985",1984359,"1984-12-24",198585,"1985-3-26",92,1984
"MO","1985-1986",1985340,"1985-12-6",198688,"1986-3-29",113,1985
"MO","1986-1987",1986347,"1986-12-13",198767,"1987-3-8",85,1986
"MO","1987-1988",1987359,"1987-12-25",198885,"1988-3-25",91,1987
"MO","1988-1989",1988364,"1988-12-29",198991,"1989-4-1",93,1988
"MO","1989-1990",1989341,"1989-12-7",199074,"1990-3-15",98,1989
"MO","1990-1991",1990357,"1990-12-23",199180,"1991-3-21",88,1990
"MO","1991-1992",1991350,"1991-12-16",199276,"1992-3-16",91,1991
"MO","1992-1993",1992359,"1992-12-24",1993101,"1993-4-11",108,1992
"MO","1993-1994",1993360,"1993-12-26",199490,"1994-3-31",95,1993
"MO","1994-1995",19955,"1995-1-5",199590,"1995-3-31",85,1994
"MO","1995-1996",1995333,"1995-11-29",199684,"1996-3-24",107,1995
"MO","1996-1997",1996355,"1996-12-20",199785,"1997-3-26",96,1996
"MO","1997-1998",199811,"1998-1-11",199858,"1998-2-27",47,1997
"MO","1998-1999",1998364,"1998-12-30",199969,"1999-3-10",70,1998
"MO","1999-2000",200014,"2000-1-14",200066,"2000-3-6",52,1999
"MO","2000-2001",2000348,"2000-12-13",200190,"2001-3-31",108,2000
"MO","2001-2002",20021,"2002-1-1",200257,"2002-2-26",56,2001
"MO","2002-2003",2002343,"2002-12-9",200381,"2003-3-22",83,2002
"MO","2003-2004",2003359,"2003-12-25",200480,"2004-3-20",75,2003
"MO","2004-2005",2004359,"2004-12-24",200590,"2005-3-31",97,2004
"MO","2005-2006",2005342,"2005-12-8",200671,"2006-3-12",94,2005
"MO","2006-2007",200718,"2007-1-18",200785,"2007-3-26",67,2006
"MO","2007-2008",2007341,"2007-12-7",200898,"2008-4-7",122,2007
"MO","2008-2009",2008351,"2008-12-16",200983,"2009-3-24",98,2008
"MO","2009-2010",2009361,"2009-12-27",201084,"2010-3-25",88,2009
"MO","2010-2011",2010343,"2010-12-9",201193,"2011-4-3",116,2010
"MO","2011-2012",20123,"2012-1-3",201272,"2012-3-12",69,2011
"MO","2012-2013",2012366,"2012-12-31",2013101,"2013-4-11",101,2012
"MO","2013-2014",2013344,"2013-12-10",2014100,"2014-4-10",121,2013
"MO","2014-2015",2014336,"2014-12-2",201592,"2015-4-2",105,2014
"MO","2015-2016",201611,"2016-1-11",201673,"2016-3-13",62,2015
"MO","2016-2017",2016351,"2016-12-16",201766,"2017-3-7",81,2016
"MO","2017-2018",2017360,"2017-12-26",201888,"2018-3-29",93,2017
"MO","2018-2019",2018345,"2018-12-11",201990,"2019-3-31",97,2018
"MO","2019-2020",2019350,"2019-12-16",202080,"2020-3-20",80,2019
"WI","1877-1878",1877363,"1877-12-29",187868,"1878-3-9",70,1877
"WI","1878-1879",1878340,"1878-12-6",187988,"1879-3-29",113,1878
"WI","1879-1880",1879323,"1879-11-19",188083,"1880-3-23",125,1879
"WI","1880-1881",1880321,"1880-11-16",1881119,"1881-4-29",164,1880
"WI","1881-1882",1881324,"1881-11-20",188261,"1882-3-2",102,1881
"WI","1882-1883",1882336,"1882-12-2",1883100,"1883-4-10",129,1882
"WI","1883-1884",1883319,"1883-11-15",1884104,"1884-4-13",150,1883
"WI","1884-1885",1884329,"1884-11-24",1885103,"1885-4-13",140,1884
"WI","1885-1886",1885339,"1885-12-5",1886105,"1886-4-15",131,1885
"WI","1886-1887",1886328,"1886-11-24",,,-999,1886
"WI","1887-1888",1887324,"1887-11-20",1888104,"1888-4-13",145,1887
"WI","1888-1889",1888347,"1888-12-12",188983,"1889-3-24",102,1888
"WI","1889-1890",,,189083,"1890-3-24",-999,1889
"WI","1890-1891",1890338,"1890-12-4",,,-999,1890
"WI","1891-1892",,,189293,"1892-4-2",-999,1891
"WI","1892-1893",1892323,"1892-11-18",189395,"1893-4-5",138,1892
"WI","1893-1894",1893321,"1893-11-17",189469,"1894-3-10",113,1893
"WI","1894-1895",1894319,"1894-11-15",,,-999,1894
"WI","1895-1896",,,189690,"1896-3-30",-999,1895
"WI","1913-1914",1913306,"1913-11-2",,,-999,1913
"WI","1914-1915",1914333,"1914-11-29",,,-999,1914
"WI","1915-1916",,,191680,"1916-3-20",-999,1915
"WI","1916-1917",1916332,"1916-11-27",,,-999,1916
"WI","1926-1927",1926324,"1926-11-20",,,-999,1926
"WI","1927-1928",,,192884,"1928-3-24",-999,1927
"WI","1928-1929",1928334,"1928-11-29",192984,"1929-3-25",116,1928
"WI","1929-1930",1929321,"1929-11-17",,,-999,1929
"WI","1934-1935",,,193584,"1935-3-25",-999,1934
"WI","1935-1936",,,193684,"1936-3-24",-999,1935
"WI","1936-1937",,,1937100,"1937-4-10",-999,1936
"WI","1937-1938",,,193880,"1938-3-21",-999,1937
"WI","1938-1939",1938329,"1938-11-25",193984,"1939-3-25",120,1938
"WI","1939-1940",,,1940100,"1940-4-9",-999,1939
"WI","1940-1941",1940318,"1940-11-13",,,-999,1940
"WI","1943-1944",,,194484,"1944-3-24",-999,1943
"WI","1944-1945",1944337,"1944-12-2",194576,"1945-3-17",105,1944
